Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
Plessisville,QC,-71.78,46.22,5100,5050,-260,-460,-670,-870,-1080,-1240,-1410
Port-Cartier,QC,-66.87,50.02,6060,6115,-330,-570,-830,-1080,-1340,-1550,-1770
Puvinrituq,QC,-77.283,60.033,9200,9170,-510,-900,-1300,-1750,-2220,-2620,-3010
Ancienne-Lorette,QC,-71.38,46.78,5130,5035,-270,-480,-690,-910,-1130,-1300,-1480
Lévis,QC,-71.18,46.8,5050,5035,-280,-490,-700,-920,-1140,-1320,-1510
Québec,QC,-71.23,46.8,5080,5035,-280,-480,-700,-920,-1140,-1320,-1500
Sillery,QC,-71.25,46.77,5070,5045,-270,-480,-690,-910,-1130,-1310,-1490
Ste-Foy,QC,-71.28,46.78,5100,5040,-270,-480,-700,-910,-1130,-1310,-1490
Richmond,QC,-72.15,45.67,4700,4800,-250,-440,-640,-830,-1030,-1180,-1340
Rimouski,QC,-68.55,48.43,5300,5415,-310,-540,-780,-1020,-1260,-1460,-1660
Rivière-du-Loup,QC,-69.53,47.83,5380,5470,-290,-510,-730,-960,-1190,-1380,-1560
Roberval,QC,-72.23,48.52,5750,5780,-290,-500,-730,-960,-1190,-1370,-1560
Rock-Island,QC,-72.1,45.04,4850,4825,-250,-430,-610,-790,-980,-1140,-1290
Rosemère,QC,-73.8,45.63,4550,4570,-270,-460,-660,-860,-1060,-1220,-1380
Rouyn,QC,-79.02,48.23,6050,6070,-300,-520,-750,-990,-1240,-1430,-1630
Saguenay,QC,-71.07,48.43,5700,5805,-290,-510,-730,-960,-1190,-1380,-1570
Saguenay (Bagotville),QC,-70.88,48.35,5700,5860,-290,-500,-730,-950,-1180,-1370,-1550
Saguenay (Jonquière),QC,-71.22,48.42,5650,5740,-290,-510,-730,-960,-1190,-1380,-1560
